ID_Estudiante,Facultad,Carrera,Edad,Genero,Ciclo_Actual,Promedio_Ponderado,Creditos_Aprobados,Cursos_Desaprobados,Asistencia_Porcentaje,Ranking_Facultad,Modalidad_Ingreso,Ingreso_Familiar_Mensual,Distrito_Residencia,Tiempo_Transporte_Minutos,Tiene_Internet,Tiene_Computadora,Trabaja,Vive_Con_Padres,Nivel_Estres,Satisfaccion_Carrera,Participacion_Actividades,Horas_Estudio_Diarias,Uso_Biblioteca,Uso_Tutorias,Actividades_Extracurriculares,Probabilidad_Desercion
UNI000469,FIM,Ingeniería Mecatrónica,23,F,6,14.28,19,2,83.13,66,Traslado Externo,2937.27,San Martín de Porres,73.0,1,1,0,1,2,4,2,2.8,0,0,0,0.1
UNI000470,FIEECS,Estadística,25,M,10,15.71,77,2,83.43,16,Ordinario,3936.1,Rímac,39.0,1,1,0,1,3,3,1,2.9,1,0,3,0.0
UNI000471,FIAU,Ingeniería Ambiental,19,M,3,12.1,159,0,86.94,7,Ordinario,5516.65,La Victoria,52.0,1,1,0,0,2,5,2,5.0,0,0,1,0.1
UNI000472,FIQT,Ingeniería Textil,18,M,9,11.81,187,3,87.38,83,Dos Primeros,2315.7,Los Olivos,57.0,1,0,1,0,4,4,1,5.5,1,0,1,0.3
UNI000473,FAU,Urbanismo,17,M,3,12.02,177,0,86.35,97,Ordinario,1184.42,Breña,43.0,1,1,0,1,1,5,4,2.5,1,0,3,0.2
UNI000474,FIIS,Ingeniería de Sistemas,24,M,3,13.84,26,1,88.93,9,Ordinario,2224.63,San Miguel,27.0,1,1,1,1,5,3,0,5.6,0,0,1,0.2
UNI000475,FIC,Ingeniería Civil,16,M,5,11.94,119,4,73.1,17,Ordinario,2228.67,Los Olivos,50.0,1,1,0,1,3,5,2,2.9,0,0,0,0.25
UNI000476,FIP,Ingeniería Petroquímica,22,M,7,12.4,24,2,83.79,91,Ordinario,2238.02,Callao,87.0,1,1,0,1,4,5,5,4.7,0,1,0,0.2
UNI000477,FIQT,Ingeniería Textil,20,F,8,14.16,51,3,72.72,97,Dos Primeros,3907.51,Callao,61.0,1,1,0,1,2,5,5,4.3,1,0,0,0.2
UNI000478,FIEECS,Ingeniería Económica,23,F,7,11.25,195,3,85.56,12,Ordinario,3342.78,Rímac,87.0,1,1,1,1,1,1,3,4.6,1,0,3,0.2
UNI000479,FIIS,Ingeniería de Sistemas,19,M,9,15.28,20,3,91.05,57,Ordinario,1871.58,San Miguel,64.0,1,0,0,1,4,3,1,2.8,0,0,1,0.0
UNI000480,FIEECS,Ciencias Sociales,22,F,5,13.77,17,1,83.61,45,Ordinario,4416.2,Rímac,45.0,1,1,0,1,4,1,0,2.2,1,1,3,0.1
UNI000481,FIQT,Ingeniería Textil,28,M,10,8.78,38,1,75.53,11,Ordinario,4893.04,Los Olivos,86.0,0,1,0,1,5,2,5,3.2,1,0,0,0.45
UNI000482,FAU,Arquitectura,20,M,3,11.47,14,2,80.69,13,IEN,1294.99,Los Olivos,64.0,1,1,0,1,5,4,0,4.4,0,0,3,0.2
UNI000483,FIIS,Ingeniería de Sistemas,29,M,6,8.45,52,1,100.0,31,Dos Primeros,4177.65,La Victoria,79.0,1,1,1,0,5,1,2,6.0,1,1,1,0.55
UNI000484,FIEECS,Ingeniería Económica,20,M,5,12.11,37,2,99.5,77,Ordinario,2829.88,Jesús María,39.0,1,1,0,1,2,5,3,3.0,1,0,1,0.0
UNI000485,FIP,Ingeniería de Petróleo,29,M,4,11.5,175,4,79.58,26,Ordinario,2057.99,Ate,81.0,1,1,0,1,5,2,5,3.9,1,0,2,0.35
UNI000486,FIM,Ingeniería Mecatrónica,24,M,2,14.17,51,5,79.53,63,Ordinario,1544.81,Breña,81.0,1,0,0,1,4,3,2,3.3,1,0,2,0.15
UNI000487,FIEE,Ingeniería Electrónica,24,M,7,10.74,215,1,83.91,31,Ordinario,2547.22,San Miguel,66.0,1,1,0,1,4,3,3,4.0,0,0,2,0.0
UNI000488,FIM,Ingeniería Mecánica,28,F,5,13.28,71,3,97.4,22,Ordinario,2478.14,San Juan de Lurigancho,44.0,0,1,1,1,4,1,4,2.1,1,0,0,0.3
UNI000489,FIQT,Ingeniería Química,24,M,4,13.64,27,1,67.49,6,Dos Primeros,3147.49,Los Olivos,59.0,1,1,0,1,3,5,2,5.5,0,0,2,0.1
UNI000490,FIC,Ingeniería Civil,27,M,8,13.01,212,2,79.45,20,Ordinario,5146.04,Rímac,72.0,0,1,1,1,3,5,1,4.0,1,0,0,0.2
UNI000491,FIEE,Ingeniería Eléctrica,21,M,9,14.78,143,4,89.11,85,Ordinario,2492.08,San Martín de Porres,65.0,1,0,0,1,2,3,2,4.9,0,1,3,0.25
UNI000492,FIAU,Ingeniería de Recursos Naturales,21,M,9,16.64,117,2,87.96,10,Ordinario,1593.44,Rímac,72.0,1,0,0,1,5,5,2,3.8,1,1,1,0.1
UNI000493,FIP,Ingeniería de Petróleo,20,M,3,12.72,143,1,80.72,83,Ordinario,2669.82,Ate,80.0,1,0,0,0,4,4,5,4.2,1,0,3,0.2
UNI000494,FIAU,Ingeniería Ambiental,24,M,3,13.31,34,3,82.48,35,Dos Primeros,4042.01,San Martín de Porres,47.0,1,1,1,1,5,1,4,5.1,1,0,2,0.3
UNI000495,FIIS,Ingeniería de Sistemas,25,F,5,10.74,144,3,88.31,26,Ordinario,2752.32,Rímac,37.0,1,0,0,1,4,1,5,4.1,0,1,2,0.1
UNI000496,FIEE,Ingeniería Eléctrica,23,M,5,10.46,200,3,80.9,71,Ordinario,3651.48,Cercado de Lima,59.0,1,1,0,1,3,5,4,4.2,1,0,0,0.25
UNI000497,FIAU,Ingeniería Ambiental,22,M,10,14.57,98,4,74.37,37,Ordinario,3170.0,Rímac,53.0,1,1,1,1,4,3,5,3.2,1,1,0,0.35
UNI000498,FIAU,Ingeniería de Recursos Naturales,22,M,2,14.3,51,2,83.15,8,IEN,3061.16,San Juan de Lurigancho,76.0,1,1,1,1,2,4,2,3.5,1,0,3,0.1
UNI000499,FIEECS,Ingeniería Económica,21,M,1,10.44,209,3,86.89,5,Ordinario,4587.23,Independencia,39.0,1,1,0,0,1,4,3,3.0,0,1,3,0.25
UNI000500,FIM,Ingeniería Mecatrónica,20,M,8,9.88,139,1,63.76,44,Dos Primeros,2031.87,La Victoria,80.0,1,1,0,1,4,4,4,3.3,0,1,2,0.25
UNI000501,FIEECS,Estadística,28,M,3,11.2,82,1,88.92,100,Ordinario,1959.34,Jesús María,87.0,1,1,0,1,2,2,4,5.3,1,0,0,0.3
UNI000502,FIEE,Ingeniería Electrónica,19,M,1,12.22,47,1,94.74,92,Dos Primeros,2091.21,Callao,60.0,1,1,0,1,3,5,3,5.8,0,0,0,0.2
UNI000503,FIEE,Ingeniería de Telecomunicaciones,18,M,1,11.68,21,1,81.43,67,Dos Primeros,3345.32,Los Olivos,61.0,1,1,0,1,3,4,0,2.8,1,0,3,0.0
UNI000504,FIQT,Ingeniería Química,18,M,2,12.82,122,3,81.61,72,Ordinario,3053.43,Ate,45.0,1,1,1,1,1,5,4,4.4,0,0,0,0.2
UNI000505,FIEECS,Ciencias Sociales,21,M,6,14.33,126,4,77.62,79,Dos Primeros,3710.13,Breña,49.0,1,0,0,1,5,3,4,3.7,1,1,3,0.25
UNI000506,FC,Matemática,19,M,6,13.42,176,2,83.48,91,Ordinario,2923.95,San Miguel,52.0,1,1,0,1,5,3,3,5.4,1,0,1,0.2
UNI000507,FIM,Ingeniería Mecatrónica,27,M,3,13.57,51,2,79.42,49,Ordinario,2804.4,Rímac,89.0,1,1,1,1,4,3,3,4.1,0,1,2,0.1
UNI000508,FIEE,Ingeniería de Telecomunicaciones,27,M,4,7.6,78,4,99.48,36,Ordinario,3329.16,Cercado de Lima,59.0,1,0,0,1,3,2,2,4.0,1,1,0,0.5
UNI000509,FIQT,Ingeniería Química,21,M,2,9.27,128,2,86.25,80,Ordinario,4696.46,Cercado de Lima,34.0,1,1,0,0,2,3,2,3.3,1,0,0,0.35
UNI000510,FIEECS,Estadística,18,M,2,10.91,65,2,63.52,26,Ordinario,1837.71,Jesús María,65.0,1,1,1,1,1,5,0,2.5,1,0,1,0.2
UNI000511,FIM,Ingeniería Mecatrónica,19,M,7,11.24,63,2,90.71,45,Dos Primeros,2079.84,Breña,77.0,1,1,1,1,5,1,0,4.8,0,0,1,0.3
UNI000512,FIEECS,Ingeniería Económica,24,M,1,14.18,7,1,100.0,61,Dos Primeros,3041.1,Jesús María,59.0,1,1,0,0,4,1,0,4.4,0,0,1,0.2
UNI000513,FIAU,Ingeniería Ambiental,20,M,7,10.74,213,5,90.09,44,Ordinario,5032.47,San Miguel,89.0,1,0,0,0,4,5,1,4.4,1,1,3,0.25
UNI000514,FIQT,Ingeniería Textil,28,F,1,13.83,24,5,96.9,4,Dos Primeros,1928.35,Los Olivos,76.0,1,1,0,0,3,1,3,3.4,0,0,3,0.35
UNI000515,FIM,Ingeniería Mecatrónica,22,M,6,10.93,193,0,91.77,76,Ordinario,2990.0,Los Olivos,39.0,1,1,0,1,2,4,4,3.9,1,0,1,0.0
UNI000516,FAU,Arquitectura,25,F,3,10.1,200,0,94.91,81,Ordinario,2122.6,Rímac,49.0,1,1,0,1,2,1,3,4.8,1,1,2,0.35
UNI000517,FIIS,Ingeniería Industrial,17,M,8,10.19,200,2,94.42,58,IEN,3398.18,Jesús María,65.0,1,1,0,1,5,2,3,5.0,1,0,2,0.35
UNI000518,FIIS,Ingeniería Industrial,29,M,6,17.02,204,1,94.54,26,Ordinario,935.74,Jesús María,27.0,1,1,1,1,4,3,0,2.8,1,0,0,0.3
UNI000519,FIM,Ingeniería Mecatrónica,29,M,2,10.89,197,2,88.17,95,Ordinario,1963.83,Santa Anita,67.0,1,0,1,1,3,1,3,3.4,1,1,3,0.3
UNI000520,FIEECS,Ciencias Sociales,20,M,8,13.88,93,1,67.85,79,Dos Primeros,4278.34,Jesús María,25.0,0,1,1,1,2,1,1,2.6,1,0,2,0.3
UNI000521,FIQT,Ingeniería Textil,24,M,5,9.38,206,3,74.11,98,Ordinario,3009.32,Independencia,80.0,1,1,0,1,4,2,5,4.2,1,1,0,0.45
UNI000522,FIIS,Ingeniería Industrial,26,M,8,15.34,178,2,74.29,29,Ordinario,2254.66,La Victoria,78.0,1,1,0,0,2,2,4,4.9,0,1,2,0.2
UNI000523,FIQT,Ingeniería Química,18,M,8,13.2,180,0,59.74,9,Ordinario,2954.19,Independencia,70.0,1,1,1,1,1,1,5,3.7,1,0,3,0.3
UNI000524,FIIS,Ingeniería Industrial,29,M,6,13.05,14,2,80.65,78,Ordinario,2936.7,La Victoria,46.0,1,1,1,1,2,4,0,3.3,1,0,2,0.1
UNI000525,FIAU,Ingeniería Ambiental,24,F,2,13.33,177,2,99.15,36,IEN,3560.81,Independencia,63.0,1,1,1,1,2,1,2,3.7,1,0,2,0.2
UNI000526,FIEECS,Ingeniería Económica,29,F,8,13.55,198,0,70.64,4,Ordinario,930.0,Cercado de Lima,50.0,1,1,1,1,4,4,5,6.3,1,0,3,0.2
UNI000527,FIAU,Ingeniería de Recursos Naturales,26,M,6,14.12,121,0,92.28,59,Ordinario,1963.33,Breña,39.0,1,1,1,1,2,3,4,5.2,1,0,0,0.2
UNI000528,FIIS,Ingeniería Industrial,21,M,6,11.3,74,0,90.29,37,Ordinario,2045.13,La Victoria,53.0,1,1,0,1,2,5,5,4.7,0,0,0,0.1
UNI000529,FAU,Arquitectura,19,M,8,11.18,103,5,87.3,88,Ordinario,3629.42,La Victoria,74.0,1,0,0,1,1,3,2,4.3,1,1,1,0.25
UNI000530,FAU,Arquitectura,22,M,1,12.6,37,3,96.83,81,Ordinario,2993.69,Ate,61.0,1,1,0,0,2,1,2,4.0,1,0,0,0.4
UNI000531,FIAU,Ingeniería Ambiental,23,M,2,13.87,167,2,84.59,13,Ordinario,4440.6,Independencia,89.0,1,1,0,1,2,1,3,3.1,1,1,1,0.1
UNI000532,FAU,Artes,21,F,9,12.37,193,2,100.0,20,Ordinario,3829.14,Callao,75.0,1,1,0,1,4,4,4,2.9,1,0,3,0.0
UNI000533,FIIS,Ingeniería Industrial,20,M,8,14.05,114,1,83.01,17,Ordinario,2654.1,Rímac,73.0,1,0,1,1,3,2,1,3.4,0,0,0,0.3
UNI000534,FIM,Ingeniería Mecatrónica,21,M,7,13.74,38,3,88.43,51,Ordinario,2950.45,La Victoria,28.0,1,1,0,1,1,4,3,3.0,1,1,3,0.0
UNI000535,FIAU,Ingeniería Ambiental,20,M,7,12.07,201,1,83.58,91,Dos Primeros,4293.88,Santa Anita,54.0,1,1,1,0,2,2,2,3.4,0,1,0,0.5
UNI000536,FIC,Ingeniería Civil,23,F,5,9.01,107,2,75.76,55,Dos Primeros,4433.21,Cercado de Lima,39.0,1,0,0,1,3,2,5,3.9,0,0,2,0.25
UNI000537,FIEECS,Ciencias Sociales,16,M,2,11.49,16,0,71.53,33,IEN,2904.32,San Juan de Lurigancho,56.0,1,1,0,1,4,2,4,4.0,0,0,0,0.2
UNI000538,FAU,Arquitectura,26,M,6,15.99,134,2,90.75,21,Ordinario,2014.96,Rímac,46.0,1,0,1,1,1,2,3,3.4,0,0,2,0.2
UNI000539,FAU,Urbanismo,22,F,10,13.18,117,4,98.47,81,Ordinario,930.0,Jesús María,52.0,1,1,0,0,4,1,4,4.5,0,0,0,0.65
UNI000540,FIEE,Ingeniería de Telecomunicaciones,25,M,3,11.22,38,3,87.44,22,Dos Primeros,930.0,Independencia,81.0,1,1,0,1,3,5,5,3.8,0,1,3,0.1
UNI000541,FC,Química,25,F,4,13.0,195,1,90.14,25,Ordinario,3472.08,Los Olivos,70.0,1,0,0,1,1,5,0,4.2,0,1,1,0.0
UNI000542,FIAU,Ingeniería Ambiental,26,M,10,13.85,34,1,69.46,67,Ordinario,3451.99,Callao,80.0,1,1,1,1,2,3,1,3.3,0,0,0,0.3
UNI000543,FIP,Ingeniería Petroquímica,17,F,2,11.22,50,1,88.85,91,Dos Primeros,2324.6,Independencia,28.0,1,1,1,1,3,3,1,4.7,1,0,3,0.2
UNI000544,FAU,Arquitectura,29,M,2,14.97,46,1,64.2,91,Dos Primeros,4301.49,Ate,61.0,1,1,1,1,4,3,1,3.5,0,0,2,0.3
UNI000545,FIEECS,Ciencias Sociales,24,M,8,13.49,35,1,73.04,12,IEN,2793.06,Rímac,79.0,1,1,1,0,1,4,2,5.6,1,1,2,0.2
UNI000546,FIC,Ingeniería Civil,16,F,8,10.3,63,2,98.34,15,Dos Primeros,2411.6,Cercado de Lima,90.0,1,1,1,0,3,3,2,3.8,0,0,2,0.35
UNI000547,FAU,Urbanismo,26,M,10,14.21,94,1,85.14,84,Ordinario,4171.16,Ate,29.0,1,0,0,1,3,3,1,3.9,1,1,2,0.1
UNI000548,FIC,Ingeniería Civil,25,M,6,11.68,216,2,86.06,86,Ordinario,4038.56,San Miguel,53.0,1,1,0,1,4,3,4,4.6,0,1,3,0.1
UNI000549,FIIS,Ingeniería de Sistemas,21,M,5,12.14,104,2,90.54,2,IEN,2948.4,Cercado de Lima,81.0,1,1,0,0,4,1,0,4.8,0,0,0,0.3
UNI000550,FIIS,Ingeniería de Sistemas,24,M,8,10.47,12,2,92.98,4,Ordinario,3517.53,La Victoria,56.0,1,1,0,1,2,3,2,4.9,1,1,2,0.15
UNI000551,FC,Física,16,M,4,13.76,145,1,82.29,45,IEN,3643.71,San Miguel,42.0,0,1,1,1,2,5,5,5.8,1,0,2,0.1
UNI000552,FIM,Ingeniería Mecatrónica,19,M,4,12.2,148,2,87.93,13,Ordinario,5175.27,Los Olivos,29.0,1,1,0,1,3,1,3,4.7,0,0,0,0.2
UNI000553,FIP,Ingeniería de Petróleo,19,M,5,13.85,111,0,84.3,55,Ordinario,2868.98,Ate,41.0,1,0,0,1,4,2,3,3.9,0,0,3,0.1
UNI000554,FIEE,Ingeniería de Telecomunicaciones,24,M,1,11.4,64,0,69.68,32,Dos Primeros,1820.13,Cercado de Lima,26.0,1,0,0,1,3,4,2,3.5,1,1,2,0.1
UNI000555,FC,Física,26,M,1,11.17,7,2,81.45,22,Ordinario,3625.48,San Martín de Porres,61.0,1,1,0,0,5,1,1,3.9,0,0,1,0.3
UNI000556,FIQT,Ingeniería Textil,20,M,2,11.01,47,1,89.13,89,Dos Primeros,3062.22,San Martín de Porres,78.0,1,1,0,1,4,1,4,5.5,0,1,3,0.2
UNI000557,FIEE,Ingeniería de Telecomunicaciones,20,F,8,13.29,84,1,81.15,91,Ordinario,3112.32,Breña,35.0,1,0,0,1,5,5,0,2.6,1,0,1,0.2
UNI000558,FIAU,Ingeniería de Recursos Naturales,21,F,7,11.14,42,7,81.24,55,Dos Primeros,2968.78,Breña,65.0,0,1,1,1,5,3,3,3.2,1,0,3,0.35
UNI000559,FIEECS,Estadística,16,F,10,12.09,180,0,92.82,17,Ordinario,1408.68,San Juan de Lurigancho,77.0,1,1,0,1,4,2,2,3.8,0,1,2,0.2
UNI000560,FIQT,Ingeniería Textil,16,M,9,11.46,84,0,86.61,70,Ordinario,3261.38,San Miguel,60.0,1,1,1,1,2,5,4,3.2,1,1,3,0.1
UNI000561,FIQT,Ingeniería Química,24,M,5,13.38,154,3,88.52,51,Ordinario,2640.84,Santa Anita,28.0,1,1,0,0,3,5,1,3.6,1,0,3,0.1
UNI000562,FC,Física,18,M,2,9.03,18,1,68.75,80,Ordinario,2690.93,Rímac,68.0,0,1,0,1,1,1,0,5.8,0,0,1,0.35
UNI000563,FIM,Ingeniería Mecatrónica,19,M,7,12.99,22,1,89.48,8,Dos Primeros,2601.82,Independencia,59.0,0,1,0,0,1,2,0,3.7,1,0,3,0.2
UNI000564,FC,Física,16,M,8,15.96,114,0,73.92,61,Ordinario,2960.8,La Victoria,57.0,1,1,0,1,4,5,3,4.4,1,0,3,0.0
UNI000565,FIAU,Ingeniería de Recursos Naturales,24,M,7,14.97,49,7,84.75,97,Ordinario,3260.45,Los Olivos,49.0,1,1,0,1,2,4,3,2.3,1,1,2,0.25
UNI000566,FAU,Urbanismo,23,M,7,11.27,178,3,74.37,10,Ordinario,2970.69,San Martín de Porres,62.0,1,1,0,1,2,4,5,2.9,1,0,0,0.1
UNI000567,FAU,Artes,17,F,5,13.49,42,2,94.33,98,Ordinario,4154.82,Santa Anita,70.0,1,1,0,1,2,5,2,4.9,0,1,1,0.1
UNI000568,FIM,Ingeniería Mecánica,23,M,2,13.1,98,2,100.0,19,Ordinario,3756.17,Breña,108.0,1,1,1,1,1,1,0,5.7,1,0,1,0.3
UNI000569,FIAU,Ingeniería Ambiental,22,M,6,15.44,103,1,83.52,14,Ordinario,2926.9,Jesús María,62.0,1,1,0,1,5,4,1,4.2,1,0,0,0.2
UNI000570,FIM,Ingeniería Mecatrónica,26,M,4,7.48,115,3,83.43,67,Ordinario,1964.62,Santa Anita,90.0,1,1,0,1,1,1,1,3.7,0,0,1,0.25
UNI000571,FIC,Ingeniería Civil,21,M,10,14.73,50,1,95.31,55,Dos Primeros,3580.53,San Miguel,67.0,1,1,0,1,2,3,2,4.5,1,0,2,0.0
UNI000572,FAU,Arquitectura,16,F,2,11.96,105,2,90.72,61,Ordinario,2685.09,San Juan de Lurigancho,58.0,1,1,0,1,1,3,0,1.4,1,0,3,0.1
UNI000573,FIQT,Ingeniería Textil,22,M,9,11.01,111,1,84.29,56,IEN,2829.25,La Victoria,63.0,1,0,0,0,1,1,3,4.2,1,1,3,0.2
UNI000574,FIP,Ingeniería de Petróleo,25,M,7,10.96,196,1,88.68,63,Ordinario,1681.31,Santa Anita,36.0,1,1,1,1,3,5,5,3.0,1,0,2,0.1
UNI000575,FIEECS,Ingeniería Económica,22,M,6,9.9,168,0,100.0,87,Ordinario,3413.57,Los Olivos,66.0,1,1,0,1,4,3,1,4.8,1,0,1,0.25
UNI000576,FIAU,Ingeniería de Recursos Naturales,28,M,5,11.27,71,3,78.28,11,Ordinario,5593.39,San Miguel,20.0,1,1,1,1,5,3,4,1.8,0,0,3,0.3
UNI000577,FIEE,Ingeniería Electrónica,29,M,3,10.34,138,3,79.14,47,Ordinario,2493.71,Ate,43.0,1,1,0,1,3,4,2,3.4,1,0,0,0.25
UNI000578,FIM,Ingeniería Mecatrónica,24,F,10,12.86,79,2,92.95,6,Ordinario,3622.6,Los Olivos,62.0,1,1,0,1,4,5,1,4.0,0,0,3,0.0
UNI000579,FIEECS,Estadística,16,F,10,13.68,215,2,100.0,34,Dos Primeros,4245.86,Independencia,84.0,1,1,1,0,2,1,4,3.2,0,1,2,0.3
UNI000580,FIEE,Ingeniería Electrónica,17,F,4,11.99,212,1,86.77,65,Ordinario,2477.02,San Juan de Lurigancho,89.0,1,1,0,1,3,3,4,3.6,1,0,3,0.0
UNI000581,FIEECS,Estadística,26,M,3,15.5,179,3,67.9,99,Dos Primeros,930.0,La Victoria,55.0,1,1,1,1,4,5,1,4.9,1,0,2,0.4
UNI000582,FIP,Ingeniería Petroquímica,24,F,8,11.4,150,1,88.9,89,Ordinario,3695.51,San Juan de Lurigancho,63.0,1,0,0,1,3,3,2,4.0,1,0,1,0.1
UNI000583,FIEE,Ingeniería Eléctrica,28,M,3,11.88,48,1,79.75,64,Ordinario,3079.31,Callao,80.0,1,1,0,1,1,4,4,3.1,1,0,0,0.1
UNI000584,FC,Matemática,24,M,7,11.55,165,3,89.76,93,Ordinario,3311.33,Jesús María,33.0,1,1,0,1,1,5,4,4.9,0,0,2,0.1
UNI000585,FIIS,Ingeniería de Sistemas,28,M,7,13.7,46,3,71.41,87,IEN,3054.9,San Juan de Lurigancho,68.0,1,1,1,1,3,2,0,4.3,0,0,0,0.4
UNI000586,FC,Física,21,M,7,13.9,71,2,70.24,82,Ordinario,4159.8,San Miguel,43.0,0,1,0,1,3,4,5,4.3,1,1,1,0.1
UNI000587,FAU,Urbanismo,21,M,7,13.49,6,2,82.03,78,Dos Primeros,2902.48,San Juan de Lurigancho,57.0,1,1,0,1,5,1,5,3.1,1,0,1,0.2
UNI000588,FIIS,Ingeniería Industrial,19,F,2,12.25,65,3,100.0,81,Ordinario,5170.88,Breña,51.0,1,1,1,1,2,5,5,1.5,0,0,2,0.3
UNI000589,FC,Física,19,M,10,9.82,76,1,71.28,66,Ordinario,3698.05,Rímac,69.0,1,0,0,1,1,3,0,3.1,0,0,3,0.15
UNI000590,FIIS,Ingeniería de Sistemas,20,M,3,11.86,61,1,81.8,31,Ordinario,4011.49,Los Olivos,71.0,1,1,0,1,3,5,5,3.0,0,0,0,0.1
UNI000591,FIIS,Ingeniería Industrial,18,M,10,15.46,214,1,70.36,83,Dos Primeros,3006.57,La Victoria,78.0,1,1,1,1,4,1,0,3.4,1,0,3,0.3
UNI000592,FIQT,Ingeniería Textil,16,F,9,14.53,156,3,87.9,96,Dos Primeros,3310.85,Los Olivos,67.0,1,1,0,1,2,5,4,3.2,1,1,0,0.2
UNI000593,FIM,Ingeniería Mecánica,16,F,3,13.09,37,4,87.22,62,Ordinario,1310.36,Ate,63.0,1,1,0,1,4,3,4,4.1,0,0,1,0.25
UNI000594,FIM,Ingeniería Mecánica,27,F,2,11.73,124,5,70.76,54,Dos Primeros,2423.01,San Juan de Lurigancho,97.0,0,1,1,1,2,4,2,4.9,0,1,1,0.35
UNI000595,FIQT,Ingeniería Química,28,M,9,12.47,83,2,97.88,92,Ordinario,4077.65,San Juan de Lurigancho,30.0,1,1,0,1,4,4,3,5.1,0,0,1,0.1
UNI000596,FIEECS,Estadística,22,M,10,11.74,160,2,65.78,8,IEN,2933.13,Independencia,94.0,1,1,0,1,1,3,0,4.8,0,0,3,0.2
UNI000597,FIC,Ingeniería Civil,16,M,9,14.89,28,1,100.0,42,Dos Primeros,1875.12,San Juan de Lurigancho,54.0,1,1,0,1,3,2,5,3.1,0,1,1,0.1
UNI000598,FIEECS,Ciencias Sociales,16,M,4,10.82,113,2,98.74,41,Dos Primeros,2315.79,San Juan de Lurigancho,71.0,1,1,1,1,3,2,3,4.1,0,1,3,0.2
UNI000599,FIEE,Ingeniería Eléctrica,18,M,9,14.35,78,5,88.06,59,Dos Primeros,2307.72,Los Olivos,53.0,1,1,0,0,5,4,0,5.6,1,0,1,0.35
UNI000600,FIEE,Ingeniería Electrónica,25,M,3,11.44,22,3,93.96,40,Ordinario,2961.08,Los Olivos,46.0,1,1,0,1,3,1,5,2.4,0,0,3,0.1
UNI000601,FIIS,Ingeniería de Sistemas,19,M,7,15.14,105,2,83.22,22,Ordinario,2165.8,San Martín de Porres,70.0,1,1,0,1,1,5,0,5.3,1,0,2,0.0
UNI000602,FC,Química,19,F,7,13.35,130,1,69.6,24,Ordinario,4423.06,San Martín de Porres,81.0,1,0,0,1,2,3,5,3.0,0,0,2,0.1
UNI000603,FC,Física,17,M,8,11.0,100,5,87.36,38,Ordinario,3208.21,Los Olivos,69.0,1,1,0,0,2,1,2,4.3,1,1,0,0.45
UNI000604,FIM,Ingeniería Mecatrónica,16,M,10,11.88,172,2,69.29,2,Ordinario,1604.49,La Victoria,49.0,1,1,0,1,3,5,2,4.4,1,0,3,0.1
UNI000605,FIAU,Ingeniería de Recursos Naturales,18,M,4,13.92,7,2,84.89,41,Ordinario,4536.14,Santa Anita,120.0,1,1,0,1,4,4,1,4.2,1,0,3,0.1
UNI000606,FIEECS,Estadística,26,F,3,11.5,85,1,72.63,19,Ordinario,2954.22,Breña,84.0,0,1,0,1,3,3,0,6.2,0,0,2,0.0
UNI000607,FAU,Urbanismo,19,F,3,12.54,116,1,94.75,2,Ordinario,3505.99,Jesús María,79.0,1,1,0,1,2,1,0,3.7,0,0,2,0.1
UNI000608,FIP,Ingeniería de Petróleo,18,F,5,11.47,28,0,88.8,92,Ordinario,3306.74,Independencia,53.0,1,1,0,0,5,5,0,2.4,0,0,2,0.3
UNI000609,FC,Matemática,23,F,1,16.02,1,3,91.78,96,Ordinario,3417.42,Ate,47.0,1,1,0,1,2,4,2,4.4,0,0,0,0.2
UNI000610,FIP,Ingeniería de Petróleo,29,M,10,16.36,112,3,88.4,62,Dos Primeros,2656.49,Santa Anita,54.0,1,1,0,1,4,4,5,3.8,1,0,2,0.0
UNI000611,FIIS,Ingeniería de Sistemas,25,M,3,15.43,177,1,100.0,83,Ordinario,3330.76,Jesús María,82.0,1,0,0,1,4,5,0,4.6,1,0,0,0.2
UNI000612,FIP,Ingeniería de Petróleo,16,M,6,12.25,64,2,95.22,16,Dos Primeros,2850.76,San Martín de Porres,40.0,1,1,0,0,5,2,1,4.9,0,0,0,0.4
UNI000613,FAU,Urbanismo,29,M,3,11.69,107,4,100.0,94,Ordinario,3362.1,Jesús María,39.0,1,1,0,1,4,2,4,4.0,1,1,2,0.35
UNI000614,FIQT,Ingeniería Textil,17,M,5,10.94,19,2,76.0,22,Ordinario,2814.27,Callao,71.0,1,1,0,0,3,5,1,4.4,0,0,2,0.1
UNI000615,FAU,Artes,28,M,9,15.57,179,1,79.57,14,Ordinario,2709.96,San Juan de Lurigancho,66.0,1,1,1,1,3,5,5,4.1,0,0,2,0.1
UNI000616,FIP,Ingeniería de Petróleo,22,F,2,14.36,212,3,60.77,56,Ordinario,1537.97,Los Olivos,45.0,1,1,0,1,2,5,4,5.8,1,1,3,0.1
UNI000617,FAU,Urbanismo,19,F,2,14.46,36,6,81.08,65,Ordinario,2994.8,San Martín de Porres,38.0,1,1,0,1,1,4,2,3.6,0,1,1,0.15
UNI000618,FIC,Ingeniería Civil,23,F,6,12.0,71,2,84.64,45,Ordinario,3224.61,Jesús María,89.0,1,1,1,0,3,3,5,3.3,1,0,3,0.2
